BusinessYear,StateCode,IssuerId,SourceName,ImportDate,MedicalDentalBoth,ProductId,StandardComponentId,MedicalDentalIndicator,MaximumUnderageDependent,DependentMaximumAgRule,AgeDeterminationRule,MinimumTobaccoFreeMonthsRule,CohabitationRule,MarketCoverage,DentalOnlyPlan
2025,AK,21989,HIOS,2024-08-29 01:02:15,Dental,21989AK003,21989AK0030001,Dental,3,25,Age on effective date,Not Applicable,"Child,No;Foster Child,No;Grandson or Granddaughter,No;Life Partner,Yes;Self,Yes;Spouse,No;Stepson or Stepdaughter,No;Ward,No",Individual,Yes
2025,AK,21989,HIOS,2024-08-29 01:02:15,Dental,21989AK005,21989AK0050001,Dental,3,25,Age on effective date,Not Applicable,"Child,No;Foster Child,No;Grandson or Granddaughter,No;Life Partner,Yes;Self,Yes;Spouse,No;Stepson or Stepdaughter,No;Ward,No",Individual,Yes
2025,AK,21989,HIOS,2024-08-29 01:02:15,Dental,21989AK005,21989AK0050002,Dental,3,25,Age on effective date,Not Applicable,"Child,No;Foster Child,No;Grandson or Granddaughter,No;Life Partner,Yes;Self,Yes;Spouse,No;Stepson or Stepdaughter,No;Ward,No",Individual,Yes
2025,AK,21989,HIOS,2024-08-29 01:02:15,Dental,21989AK007,21989AK0070001,Dental,3,25,Age on effective date,Not Applicable,"Brother or Sister,No;Self,Yes",Individual,Yes
2025,AK,21989,HIOS,2024-08-29 01:02:15,Dental,21989AK008,21989AK0080001,Dental,3,25,Age on effective date,Not Applicable,"Child,No;Grandson or Granddaughter,No;Life Partner,Yes;Self,Yes;Spouse,No;Stepson or Stepdaughter,No;Ward,No",SHOP (Small Group),Yes
2025,AK,21989,HIOS,2024-08-29 01:02:15,Dental,21989AK008,21989AK0080002,Dental,3,25,Age on effective date,Not Applicable,"Child,No;Grandson or Granddaughter,No;Life Partner,Yes;Self,Yes;Spouse,No;Stepson or Stepdaughter,No;Ward,No",SHOP (Small Group),Yes
2025,AK,21989,HIOS,2024-08-29 01:02:15,Dental,21989AK008,21989AK0080003,Dental,3,25,Age on effective date,Not Applicable,"Child,No;Grandson or Granddaughter,No;Life Partner,Yes;Self,Yes;Spouse,No;Stepson or Stepdaughter,No;Ward,No",SHOP (Small Group),Yes
2025,AK,21989,HIOS,2024-08-29 01:02:15,Dental,21989AK010,21989AK0100001,Dental,3,25,Age on effective date,Not Applicable,"Child,No;Grandson or Granddaughter,No;Life Partner,Yes;Self,Yes;Spouse,No;Stepson or Stepdaughter,No;Ward,No",SHOP (Small Group),Yes
2025,AK,21989,HIOS,2024-08-29 01:02:15,Dental,21989AK010,21989AK0100002,Dental,3,25,Age on effective date,Not Applicable,"Child,No;Grandson or Granddaughter,No;Life Partner,Yes;Self,Yes;Spouse,No;Stepson or Stepdaughter,No;Ward,No",SHOP (Small Group),Yes
2025,AK,21989,HIOS,2024-08-29 01:02:15,Dental,21989AK010,21989AK0100003,Dental,3,25,Age on effective date,Not Applicable,"Child,No;Grandson or Granddaughter,No;Life Partner,Yes;Self,Yes;Spouse,No;Stepson or Stepdaughter,No;Ward,No",SHOP (Small Group),Yes
2025,AK,21989,HIOS,2024-08-29 01:02:15,Dental,21989AK010,21989AK0100004,Dental,3,25,Age on effective date,Not Applicable,"Child,No;Grandson or Granddaughter,No;Life Partner,Yes;Self,Yes;Spouse,No;Stepson or Stepdaughter,No;Ward,No",SHOP (Small Group),Yes
2025,AK,21989,HIOS,2024-08-29 01:02:15,Dental,21989AK010,21989AK0100005,Dental,3,25,Age on effective date,Not Applicable,"Child,No;Grandson or Granddaughter,No;Life Partner,Yes;Self,Yes;Spouse,No;Stepson or Stepdaughter,No;Ward,No",SHOP (Small Group),Yes
2025,AK,21989,HIOS,2024-08-29 01:02:15,Dental,21989AK010,21989AK0100006,Dental,3,25,Age on effective date,Not Applicable,"Child,No;Grandson or Granddaughter,No;Life Partner,Yes;Self,Yes;Spouse,No;Stepson or Stepdaughter,No;Ward,No",SHOP (Small Group),Yes
2025,AK,21989,HIOS,2024-08-29 01:02:15,Dental,21989AK010,21989AK0100007,Dental,3,25,Age on effective date,Not Applicable,"Child,No;Grandson or Granddaughter,No;Life Partner,Yes;Self,Yes;Spouse,No;Stepson or Stepdaughter,No;Ward,No",SHOP (Small Group),Yes
2025,AK,21989,HIOS,2024-08-29 01:02:15,Dental,21989AK010,21989AK0100008,Dental,3,25,Age on effective date,Not Applicable,"Child,No;Grandson or Granddaughter,No;Life Partner,Yes;Self,Yes;Spouse,No;Stepson or Stepdaughter,No;Ward,No",SHOP (Small Group),Yes
2025,AK,21989,HIOS,2024-08-29 01:02:15,Dental,21989AK011,21989AK0110001,Dental,3,25,Age on effective date,Not Applicable,"Child,No;Grandson or Granddaughter,No;Life Partner,Yes;Self,Yes;Spouse,No;Stepson or Stepdaughter,No;Ward,No",SHOP (Small Group),Yes
2025,AK,21989,HIOS,2024-08-29 01:02:15,Dental,21989AK013,21989AK0130001,Dental,3,25,Age on effective date,Not Applicable,"Child,No;Grandson or Granddaughter,No;Life Partner,Yes;Self,Yes;Spouse,No;Stepson or Stepdaughter,No;Ward,No",SHOP (Small Group),Yes
